"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.860821833E0,2.430922270E0,-2.144387722E0,1.584103227E0,3.607930822E0
1.870822833E0,2.860888004E0,-1.890674591E0,1.074610591E0,3.593621920E0
1.880823833E0,3.689661980E0,-1.528560966E-1,2.569307387E-1,3.701754167E0
1.890824833E0,3.102721214E0,5.146593094E0,1.456585079E-1,6.011282376E0
1.900825833E0,2.039956808E0,4.899357319E0,6.669781804E-1,5.348830322E0
1.910826833E0,9.889769554E-1,2.019262552E0,1.640350342E0,2.783207847E0
1.920828625E0,9.548909217E-2,-1.484127045E-1,2.163085699E0,2.170272849E0
1.930829625E0,-4.676852822E-1,-1.486149073E0,2.095959187E0,2.611592139E0
1.940830625E0,-7.753680348E-1,-1.453277469E0,1.703372002E0,2.369533111E0
1.950831625E0,-6.212902069E-1,-9.129701853E-1,1.212614059E0,1.640106380E0
1.960832625E0,-2.096211463E-1,-1.170250654E0,7.556369305E-1,1.408692582E0
1.970833625E0,-1.184436828E-1,-5.656169653E-1,5.104923844E-1,7.710732339E-1
1.980834625E0,-3.381930888E-1,3.152272999E-1,5.414550900E-1,7.119806391E-1
1.990835625E0,-9.222503304E-1,1.681720018E0,7.360569239E-1,2.054387424E0
2.000836625E0,-1.600652456E0,3.025665522E0,9.512249231E-1,3.552684758E0
2.010837625E0,-2.813806295E0,3.391782522E0,9.238346219E-1,4.502795238E0
2.020839625E0,-3.803357840E0,4.353668213E0,7.950074077E-1,5.835408687E0
2.030840625E0,-4.375623226E0,6.007301807E0,2.853181660E-1,7.437416223E0
2.040841625E0,-4.765767097E0,7.613870621E0,-1.880259514E-1,8.984370630E0
2.050842625E0,-4.707413673E0,5.985461712E0,-6.692597866E-1,7.644174518E0
2.060843625E0,-4.991181374E0,1.823466420E0,-9.870119095E-1,5.404730687E0
2.070844625E0,-4.498853207E0,1.657838702E0,-7.043694258E-1,4.846054645E0
2.080845625E0,-3.883247852E0,1.359349728E0,-4.012072086E-1,4.133813347E0
2.090846625E0,-3.259398937E0,8.227717876E-1,-6.545685232E-2,3.362278907E0
2.100847625E0,-2.504628181E0,7.565768063E-2,1.338511854E-1,2.509343052E0
2.110848625E0,-1.705632687E0,7.202322595E-3,1.370815635E-1,1.711147594E0
2.120850625E0,-8.352613449E-1,3.757838011E-1,-2.088356204E-2,9.161392376E-1
2.130851625E0,3.107388690E-2,7.297928333E-1,-1.904169023E-1,7.548653938E-1
2.140852625E0,7.968461514E-1,1.093555212E0,-1.760547459E-1,1.364486007E0
2.150853625E0,1.382839799E0,1.437419891E0,5.954291299E-2,1.995486711E0
2.160854625E0,1.828925729E0,1.507366776E0,4.361961782E-1,2.409852905E0
2.170855625E0,2.192134619E0,1.484582663E0,8.508356810E-1,2.780892163E0
2.180856625E0,2.509741545E0,1.462113023E0,1.249994278E0,3.162129474E0
2.190857625E0,2.873722076E0,1.458599687E0,1.627739549E0,3.610447016E0
2.200858625E0,3.271928787E0,1.681118846E0,1.936913371E0,4.157320287E0
2.210859625E0,3.697838783E0,1.968041301E0,2.170875072E0,4.718039509E0
2.220861625E0,4.147993088E0,2.274926901E0,2.295969963E0,5.258575580E0
2.230862625E0,4.644860744E0,2.762966394E0,2.311183214E0,5.877948833E0
2.240863625E0,5.219842911E0,3.211840153E0,2.236174822E0,6.524044376E0
2.250864625E0,5.830906868E0,3.604427814E0,2.137515068E0,7.180553282E0
2.260865625E0,6.391560555E0,4.004746914E0,2.078968525E0,7.823819674E0
2.270866625E0,6.856275082E0,3.954522133E0,2.087439060E0,8.185606583E0
2.280867625E0,6.744120598E0,3.036935806E0,2.121950388E0,7.694726452E0
2.290868625E0,5.682962418E0,1.366527677E0,2.209969521E0,6.248793885E0
2.300869625E0,3.615686417E0,-1.473429680E0,1.991229892E0,4.382827828E0
2.310870625E0,9.405508637E-1,-3.253752470E0,1.208433628E0,3.596088555E0
2.320872625E0,-1.833898902E0,-4.220726967E0,4.083740711E-1,4.620009815E0
2.330873625E0,-4.320693016E0,-4.550989628E0,6.464202702E-2,6.275673137E0
2.340874625E0,-6.112015247E0,-4.563979149E0,1.488578320E-1,7.629468835E0
2.350875625E0,-6.942250252E0,-4.525693417E0,3.364235163E-1,8.293968908E0
2.360876625E0,-6.850870132E0,-4.143020153E0,4.487050474E-1,8.018751385E0
2.370877625E0,-5.963850975E0,-2.884013891E0,4.478864372E-1,6.639703068E0
2.380878625E0,-4.392756939E0,-4.481030405E-1,4.744221866E-1,4.440966817E0
2.390879625E0,-2.105514526E0,2.746038914E0,5.695765018E-1,3.506898705E0
2.400880625E0,7.815655470E-1,5.406877041E0,6.940939426E-1,5.506989236E0
2.410881625E0,3.759570122E0,6.805677891E0,7.524358034E-1,7.811387757E0
2.420882625E0,6.192146778E0,6.920644283E0,7.305459380E-1,9.315132655E0
2.430884625E0,7.647046089E0,6.044734001E0,6.448971629E-1,9.768931128E0
2.440885625E0,8.085978508E0,4.560443878E0,4.897147715E-1,9.296263623E0
2.450886625E0,7.604863644E0,2.939471722E0,2.436764240E-1,8.156826787E0
2.460887625E0,6.336628437E0,1.500568390E0,-5.288626999E-2,6.512093550E0
2.470888625E0,4.533731937E0,-1.553385612E-2,-3.665816486E-1,4.548554571E0
2.480889625E0,2.270301819E0,-1.930105448E0,-6.532474756E-1,3.050624469E0
2.490890625E0,-4.753719270E-1,-4.257485867E0,-8.050374389E-1,4.358927580E0
2.500891625E0,-3.376624823E0,-6.509723663E0,-6.184768677E-1,7.359389309E0
2.510892625E0,-5.856288433E0,-8.046163559E0,-8.426173776E-2,9.952083313E0
2.520894625E0,-7.589457512E0,-8.828141212E0,5.728926659E-1,1.165607775E1
2.530895625E0,-8.541858673E0,-9.206800461E0,1.144644737E0,1.261105610E1
2.540896625E0,-8.806265831E0,-9.117080688E0,1.480551124E0,1.276179885E1
2.550897625E0,-8.554090500E0,-8.271209717E0,1.560038686E0,1.200079561E1
2.560898625E0,-7.879749298E0,-6.609545231E0,1.608790994E0,1.040983889E1
2.570899625E0,-6.576304436E0,-3.915229797E0,1.669901371E0,7.833605491E0
2.580900625E0,-4.517576694E0,-2.888625562E-1,1.415152788E0,4.742847054E0
2.590901625E0,-1.674084425E0,3.735230207E0,9.013710022E-1,4.191297299E0
2.600902625E0,1.624297023E0,7.515307903E0,2.211602479E-1,7.692015702E0
2.610903625E0,4.875181675E0,1.017698860E1,-5.905581713E-1,1.129987842E1
2.620905625E0,7.604269981E0,1.126301575E1,-1.282562137E0,1.365010664E1
2.630906625E0,9.470506668E0,1.059196091E1,-1.611722708E0,1.429957281E1
2.640907625E0,1.033485889E1,8.468928337E0,-1.569449544E0,1.345344667E1
2.650908625E0,9.812970161E0,5.593002796E0,-1.405309916E0,1.138204549E1
2.660909625E0,7.569645405E0,2.641403913E0,-1.399476290E0,8.138493723E0
2.670910625E0,3.941088915E0,-1.782835424E-1,-1.677485943E0,4.286948325E0
2.680911625E0,1.088361908E-2,-2.972852945E0,-2.072429180E0,3.623939265E0
2.690912625E0,-3.395848513E0,-5.378884792E0,-2.208081484E0,6.733484430E0
2.700913625E0,-5.861567020E0,-7.032938957E0,-1.813415527E0,9.333202783E0
2.710914625E0,-7.271298409E0,-8.169212341E0,-9.716920853E-1,1.097961731E1
2.720916625E0,-7.713620186E0,-8.934525490E0,6.828684825E-3,1.180363201E1
2.730917625E0,-7.435445309E0,-9.378245354E0,8.616443872E-1,1.199915680E1
2.740918625E0,-6.677524090E0,-9.000912666E0,1.458610415E0,1.130191582E1
2.750919625E0,-5.449559689E0,-6.968870640E0,1.901688099E0,9.048716838E0
2.760920625E0,-3.564632654E0,-3.674520731E0,2.376717567E0,5.644244410E0
2.770921625E0,-9.436631203E-1,3.890507221E-1,2.771119356E0,2.953127670E0
2.780922625E0,2.188018799E0,3.992607355E0,2.822219372E0,5.356609183E0
2.790923625E0,5.214039326E0,6.409948826E0,2.491647482E0,8.630292997E0
2.800924625E0,7.558576107E0,7.507520676E0,2.023365974E0,1.084384384E1
2.810925625E0,9.055228233E0,7.582509041E0,1.605511665E0,1.191928141E1
2.820927625E0,9.797409058E0,7.263998508E0,1.266383410E0,1.226208080E1
2.830928625E0,9.706741333E0,6.301747799E0,9.235774875E-1,1.160973075E1
2.840929625E0,8.431210518E0,4.625334740E0,5.150309801E-1,9.630383646E0
2.850930625E0,5.732159615E0,2.730806589E0,-6.442131847E-2,6.349732953E0
2.860931625E0,2.095608950E0,6.946905255E-1,-7.861832380E-1,2.343556246E0
2.870932625E0,-1.455969095E0,-1.345342159E0,-1.330404878E0,2.387418830E0
2.880933625E0,-4.149699211E0,-3.210448265E0,-1.525434017E0,5.463875049E0
2.890934625E0,-5.849042416E0,-4.499248981E0,-1.397953153E0,7.510579977E0
2.900935625E0,-6.625749111E0,-5.358132839E0,-1.137808919E0,8.596787071E0
2.910937625E0,-6.591001034E0,-5.516958714E0,-8.824613094E-1,8.640420478E0
2.920939250E0,-5.808284760E0,-4.599586964E0,-6.289457083E-1,7.435586378E0
2.930940250E0,-4.337403774E0,-2.777885675E0,-4.223338962E-1,5.167986672E0
2.940941250E0,-2.367712736E0,-6.704074144E-1,-2.478614450E-1,2.473245843E0
2.950942250E0,-3.482008874E-1,1.032884598E0,-1.080721989E-1,1.095341979E0
2.960943250E0,1.243695617E0,2.066751242E0,7.552398369E-3,2.412114533E0
2.970944250E0,2.202362537E0,2.455178499E0,6.634466350E-2,3.298894333E0
2.980945250E0,2.631258965E0,2.360148430E0,5.884307250E-2,3.535150189E0
2.990946250E0,2.653726339E0,2.000111818E0,2.291041054E-2,3.323136419E0
3.000947250E0,2.358556747E0,1.540580034E0,-1.339193806E-2,2.817153904E0
3.010949250E0,1.835001826E0,1.115043402E0,-3.648643196E-2,2.147529918E0
3.020950250E0,1.188969016E0,7.312429547E-1,-2.452218160E-2,1.396053336E0
3.030951250E0,5.248873234E-1,2.650517225E-1,1.722203195E-2,5.882650051E-1
3.040952250E0,-1.206014156E-1,-2.907332182E-1,9.250826389E-2,3.280674999E-1
3.050953250E0,-7.014766932E-1,-6.859903932E-1,2.344007194E-1,1.008759668E0
3.060954250E0,-1.134217978E0,-8.256090283E-1,4.230406880E-1,1.465279534E0
3.070955250E0,-1.335707545E0,-7.695570588E-1,6.024327278E-1,1.655070363E0
3.080956250E0,-1.313242793E0,-5.935841799E-1,7.200584412E-1,1.611034752E0
3.090957250E0,-1.126321554E0,-3.592660427E-1,7.333156466E-1,1.391195231E0
3.100959250E0,-8.544820547E-1,-1.337554306E-1,6.574504375E-1,1.086402860E0
3.110960250E0,-5.676875114E-1,2.755246870E-2,5.225304365E-1,7.720533053E-1
3.120961250E0,-3.097127080E-1,9.771504253E-2,3.734599650E-1,4.949166965E-1
3.130962250E0,-1.064240262E-1,8.682335168E-2,2.112359703E-1,2.519623045E-1
3.140963250E0,1.839727163E-2,-2.284455299E-2,1.364165917E-2,3.234854046E-2
3.150964250E0,2.502213977E-2,-2.514563799E-1,-2.138376534E-1,3.310331713E-1
3.160965250E0,-9.842976183E-2,-3.314734399E-1,-4.213873744E-1,5.450966691E-1
3.170966250E0,-3.208588362E-1,-2.362432182E-1,-5.749869943E-1,6.995507805E-1
3.180967250E0,-6.326449513E-1,-2.039713115E-1,-6.877172589E-1,9.564512317E-1
3.190969250E0,-9.837372899E-1,-2.803474665E-1,-7.523173690E-1,1.269769735E0
